iter	RMSE
0	0.5391062855
1	0.5353297974
2	0.5317068452
3	0.529247619
4	0.5264796825
5	0.5237924931
6	0.5222133435
7	0.5198772429
8	0.518217483
9	0.516757373
10	0.5149847113
11	0.5137617956
12	0.5124158452
13	0.5113921316
14	0.5106975365
15	0.5097315764
16	0.5090398658
17	0.5089063578
18	0.5080450858
19	0.507032143
20	0.5063011224
21	0.505558038
22	0.5048186372
23	0.5041236214
24	0.5034328777
25	0.5026203553
26	0.5022682646
27	0.5018598424
28	0.5012310261
29	0.5005863233
30	0.5005814791
31	0.5003099485
32	0.4995077328
33	0.4988278671
34	0.4981404913
35	0.4975224297
36	0.4971258533
37	0.4962858682
38	0.4957318267
39	0.4952816919
40	0.4948100066
41	0.4941427523
42	0.4935689479
43	0.4932187199
44	0.4927014492
45	0.4923661871
46	0.4917342364
47	0.4913613015
48	0.4910594669
49	0.4906526247
50	0.4902203179
51	0.4898366897
52	0.4893092927
53	0.4891655993
54	0.4885211317
55	0.4880739717
56	0.4876174596
57	0.4872778738
58	0.4869005558
59	0.4866661906
60	0.486248042
61	0.4857088119
62	0.4853405357
63	0.4850677453
64	0.4847203358
65	0.4844435712
66	0.4839856499
67	0.4834409175
68	0.4830143581
69	0.4827490509
70	0.4822452788
71	0.481923841
72	0.4814454185
73	0.4810516612
74	0.4806855634
75	0.4804111322
76	0.4801426822
77	0.4797685504
78	0.4794774929
79	0.4793410891
80	0.478840892
81	0.4788170493
82	0.4784962648
83	0.4782126351
84	0.4776968938
85	0.4774793754
86	0.4773415094
87	0.4771719951
88	0.4769165948
89	0.4765971319
90	0.4763769414
91	0.4760881711
92	0.4756805041
93	0.4754576591
94	0.475220006
95	0.4747788209
96	0.4743693623
97	0.4738561868
98	0.4734413464
99	0.4731326437
100	0.4727861129
101	0.4725530795
102	0.4722360335
103	0.4719240813
104	0.471477879
105	0.471124656
106	0.4709833334
107	0.4705262797
108	0.4703225789
109	0.4698374312
110	0.4695246195
111	0.469147378
112	0.4687101557
113	0.4684564298
114	0.4681255275
115	0.467779716
116	0.4673535856
117	0.467083842
118	0.466717222
119	0.4664111152
120	0.4661568481
121	0.4660075637
122	0.4656147742
123	0.4653732287
124	0.4649467319
125	0.464730814
126	0.4643607053
127	0.4641809367
128	0.463885404
129	0.463564109
130	0.4632005902
131	0.4629669468
132	0.4626814429
133	0.4622984338
134	0.4621123355
135	0.4618923142
136	0.4615837552
137	0.4613656266
138	0.4609803865
139	0.460765342
140	0.4605151942
141	0.4602727509
142	0.4600970756
143	0.4594621512
144	0.4591963678
145	0.4588519029
146	0.4586666097
147	0.4584136851
148	0.4580611334
149	0.4577254699
150	0.4575189196
151	0.4573277714
152	0.4569403713
153	0.456400158
154	0.4559569512
155	0.455809836
156	0.4556032102
157	0.4552825648
158	0.4551309961
159	0.4548583617
160	0.4547029202
161	0.4545300307
162	0.4543883486
163	0.4542228439
164	0.45398717
165	0.4537126064
166	0.4534944574
167	0.4532603554
168	0.4530198203
169	0.4528495345
170	0.4525943502
171	0.4523916214
172	0.4521804881
173	0.4520061163
174	0.4517934162
175	0.45157482
176	0.4513727984
177	0.451179381
178	0.4509304601
179	0.4506718342
180	0.4504017124
181	0.4500794896
182	0.4496455697
183	0.4493245715
184	0.4491609912
185	0.4488251503
186	0.448701777
187	0.4485264077
188	0.4483788805
189	0.4481742789
190	0.447932995
191	0.4477210536
192	0.4474800731
193	0.4473093084
194	0.4469061647
195	0.4467722186
196	0.4466130436
197	0.4463857274
198	0.446202953
199	0.4459847856
200	0.4456855871
201	0.4455535794
202	0.4453509134
203	0.4451401537
204	0.4446982393
205	0.4445341189
206	0.4443839425
207	0.4441797271
208	0.4440725067
209	0.443931656
210	0.443669455
211	0.4435520968
212	0.4433573861
213	0.4430720548
214	0.4428218688
215	0.4425249396
216	0.4422241722
217	0.4420497505
218	0.4417910264
219	0.4416210901
220	0.4413707017
221	0.4412355753
222	0.4410645195
223	0.4409439515
224	0.4407241791
225	0.4406009039
226	0.4404769229
227	0.4402935188
228	0.4400853914
229	0.4399963637
230	0.4397853778
231	0.439695139
232	0.4396014686
233	0.4393805584
234	0.4392174775
235	0.4390940977
236	0.4389234963
237	0.4388014286
238	0.438651149
239	0.4384793736
240	0.4382079602
241	0.4380603697
242	0.437919471
243	0.4377702878
244	0.4375490534
245	0.4373569004
246	0.4372533435
247	0.4370694016
248	0.4369615395
249	0.4367851205
250	0.4366321736
251	0.4364488398
252	0.4363392607
253	0.4362036971
254	0.4360328039
255	0.4358950664
256	0.4357539988
257	0.4355922118
258	0.4353336684
259	0.435156148
260	0.4349949687
261	0.4348568268
262	0.4346467074
263	0.4345446874
264	0.4344713902
265	0.4343074467
266	0.4341252235
267	0.4339723656
268	0.4338555987
269	0.4337407926
270	0.433650929
271	0.4335626747
272	0.4333476264
273	0.433130102
274	0.4328285721
275	0.4326608572
276	0.4325786576
277	0.4324806117
278	0.4323805254
279	0.4322374599
280	0.4319697905
281	0.431773406
282	0.4316267102
283	0.4315026377
284	0.431328731
285	0.4310971884
286	0.4309405692
287	0.430787265
288	0.4305845743
289	0.4304895721
290	0.4303215122
291	0.4301566579
292	0.4299325155
293	0.429777623
294	0.4295467781
295	0.4293734296
296	0.4291366144
297	0.4289796524
298	0.4288122439
299	0.4286495242
300	0.4285198491
301	0.4283288891
302	0.428242097
303	0.4280829559
304	0.427964739
305	0.4278649741
306	0.4276898603
307	0.4275645712
308	0.4273798664
309	0.4272190757
310	0.4270500922
311	0.4269194714
312	0.4267468068
313	0.4265203937
314	0.4263880353
315	0.4262109069
316	0.4260558578
317	0.4259564277
318	0.4258694557
319	0.4257711134
320	0.4256480073
321	0.4255114578
322	0.4254315423
323	0.4252229298
324	0.4250661865
325	0.4249031741
326	0.424767943
327	0.4246355724
328	0.4245317024
329	0.4244025161
330	0.424261647
331	0.4241395682
332	0.4239336554
333	0.4237237902
334	0.4235573309
335	0.4233661789
336	0.4232511651
337	0.4231473841
338	0.4230123041
339	0.4229296052
340	0.4227589909
341	0.4226564537
342	0.4225854174
343	0.422434518
344	0.4223662775
345	0.4223121395
346	0.422224914
347	0.4220885088
348	0.4219594326
349	0.4218674776
350	0.4216865763
351	0.4215443984
352	0.4213537241
353	0.4212691409
354	0.4211347418
355	0.4210457808
356	0.420966659
357	0.420890681
358	0.4207762493
359	0.4206385358
360	0.4204246173
361	0.4202757447
362	0.4202177356
363	0.4201094599
364	0.4200037933
365	0.4199024276
366	0.419667843
367	0.4194917113
368	0.4193715054
369	0.419280174
370	0.4191500824
371	0.4189231844
372	0.4187957575
373	0.4186969604
374	0.4185523668
375	0.4184097349
376	0.4182906756
377	0.4182354636
378	0.4179921731
379	0.4178968408
380	0.4177835339
381	0.4176670313
382	0.4175392579
383	0.4174495653
384	0.4173179533
385	0.4172183297
386	0.4170635157
387	0.41694965
388	0.4168009465
389	0.4167486628
390	0.4166255627
391	0.4165447401
392	0.416423705
393	0.4163175189
394	0.4161213184
395	0.4159786697
396	0.4157797649
397	0.4156181007
398	0.4154906986
399	0.4154099646
400	0.4152350147
401	0.4150593161
402	0.4149825014
403	0.4148751478
404	0.4147341413
405	0.4146196863
406	0.4144119808
407	0.4142863195
408	0.4142012743
409	0.4141220715
410	0.4140589073
411	0.4139392358
412	0.4137935593
413	0.4137050252
414	0.4136123549
415	0.4135338338
416	0.4134394537
417	0.4133559233
418	0.4132623424
419	0.4131408047
420	0.4130376314
421	0.4129729321
422	0.4128826507
423	0.412800489
424	0.4127091441
425	0.412610787
426	0.4125532685
427	0.4124522956
428	0.4122854479
429	0.412171098
430	0.41207893
431	0.411970043
432	0.411844481
433	0.4117417519
434	0.4116593048
435	0.4115610763
436	0.4114723402
437	0.4113977838
438	0.4112848446
439	0.411200606
440	0.4111164278
441	0.4110114457
442	0.4109063055
443	0.4108026706
444	0.4107226628
445	0.4105851604
446	0.4105058508
447	0.4103713003
448	0.4102680568
449	0.4101786044
450	0.4100926454
451	0.4100137286
452	0.4099339208
453	0.4097988979
454	0.4097008172
455	0.4096359747
456	0.4095732913
457	0.4094308719
458	0.4093632828
459	0.4092743284
460	0.4092211978
461	0.4091385341
462	0.4089932678
463	0.4089292749
464	0.4088626993
465	0.4087055542
466	0.4086719727
467	0.4085846777
468	0.4085125112
469	0.4084651669
470	0.4084154098
471	0.4083160458
472	0.408195581
473	0.4080887317
474	0.4080348104
475	0.4079367039
476	0.4078872674
477	0.4078242804
478	0.4077071022
479	0.4076498474
480	0.4075836292
481	0.4074678196
482	0.4074196041
483	0.4073421401
484	0.4072379907
485	0.4071336339
486	0.4069595322
487	0.4068762794
488	0.4067909736
489	0.4066758832
490	0.4065338923
491	0.4064565981
492	0.4064066759
493	0.4063013829
494	0.4061476193
495	0.406027419
496	0.4059508094
497	0.4058470582
498	0.405778605
499	0.4056796351
