iter	Passed	Remaining
0	187	56133
1	205	30645
2	223	22107
3	239	17705
4	256	15130
5	270	13273
6	285	11957
7	303	11078
8	318	10301
9	333	9659
10	352	9265
11	368	8853
12	382	8450
13	396	8106
14	413	7850
15	428	7612
16	447	7441
17	460	7217
18	477	7059
19	492	6888
20	509	6766
21	525	6637
22	542	6528
23	555	6383
24	568	6248
25	583	6144
26	598	6050
27	612	5949
28	629	5883
29	648	5836
30	670	5821
31	693	5804
32	713	5776
33	762	5964
34	795	6024
35	816	5988
36	833	5923
37	853	5887
38	874	5850
39	891	5796
40	908	5739
41	924	5678
42	944	5642
43	961	5595
44	977	5537
45	992	5479
46	1010	5437
47	1028	5401
48	1047	5366
49	1067	5338
50	1088	5312
51	1105	5274
52	1125	5243
53	1141	5202
54	1159	5166
55	1177	5129
56	1194	5090
57	1211	5054
58	1228	5018
59	1244	4978
60	1261	4942
61	1278	4908
62	1294	4868
63	1313	4842
64	1329	4808
65	1347	4777
66	1366	4751
67	1381	4714
68	1398	4680
69	1418	4659
70	1434	4625
71	1450	4592
72	1466	4560
73	1481	4524
74	1496	4489
75	1512	4458
76	1527	4425
77	1543	4393
78	1561	4368
79	1581	4349
80	1597	4318
81	1613	4290
82	1631	4264
83	1646	4233
84	1660	4201
85	1676	4172
86	1697	4154
87	1714	4130
88	1730	4102
89	1747	4077
90	1764	4052
91	1780	4024
92	1797	4000
93	1813	3974
94	1831	3952
95	1850	3931
96	1866	3906
97	1881	3877
98	1895	3849
99	1913	3826
100	1930	3804
101	1946	3779
102	1963	3755
103	1980	3732
104	1998	3711
105	2015	3688
106	2033	3667
107	2050	3646
108	2067	3623
109	2082	3597
110	2098	3573
111	2116	3553
112	2151	3561
113	2182	3560
114	2198	3536
115	2220	3521
116	2237	3499
117	2257	3481
118	2277	3463
119	2296	3444
120	2314	3423
121	2334	3406
122	2353	3386
123	2374	3370
124	2395	3354
125	2411	3329
126	2428	3307
127	2445	3286
128	2462	3264
129	2479	3243
130	2498	3223
131	2515	3202
132	2535	3184
133	2553	3163
134	2572	3143
135	2589	3123
136	2603	3097
137	2620	3076
138	2636	3054
139	2654	3034
140	2674	3015
141	2693	2996
142	2710	2975
143	2729	2956
144	2751	2941
145	2773	2925
146	2793	2907
147	2815	2891
148	2837	2875
149	2855	2855
150	2873	2835
151	2893	2817
152	2914	2799
153	2934	2782
154	2952	2762
155	2969	2741
156	2986	2720
157	3008	2703
158	3025	2683
159	3044	2664
160	3061	2642
161	3078	2622
162	3095	2602
163	3111	2580
164	3129	2560
165	3150	2543
166	3167	2522
167	3183	2501
168	3200	2480
169	3222	2463
170	3243	2446
171	3264	2429
172	3283	2410
173	3304	2392
174	3325	2375
175	3351	2361
176	3370	2342
177	3392	2325
178	3417	2310
179	3440	2293
180	3459	2274
181	3476	2254
182	3497	2236
183	3518	2218
184	3540	2200
185	3566	2185
186	3587	2167
187	3606	2148
188	3626	2129
189	3647	2111
190	3667	2092
191	3684	2072
192	3701	2052
193	3721	2033
194	3738	2013
195	3755	1992
196	3780	1976
197	3806	1960
198	3829	1943
199	3849	1924
200	3875	1908
201	3895	1889
202	3914	1870
203	3931	1850
204	3947	1829
205	3972	1812
206	3994	1794
207	4015	1775
208	4033	1756
209	4053	1737
210	4071	1717
211	4091	1698
212	4113	1679
213	4131	1660
214	4152	1641
215	4175	1623
216	4195	1604
217	4220	1587
218	4244	1569
219	4266	1551
220	4296	1535
221	4326	1520
222	4349	1501
223	4372	1483
224	4393	1464
225	4413	1445
226	4434	1425
227	4456	1407
228	4490	1392
229	4519	1375
230	4540	1356
231	4562	1337
232	4578	1316
233	4605	1298
234	4632	1281
235	4656	1262
236	4675	1242
237	4694	1222
238	4713	1203
239	4734	1183
240	4752	1163
241	4778	1145
242	4799	1125
243	4819	1106
244	4842	1087
245	4864	1067
246	4883	1047
247	4900	1027
248	4920	1007
249	4944	988
250	4963	968
251	4992	950
252	5023	933
253	5049	914
254	5069	894
255	5090	874
256	5109	854
257	5130	835
258	5242	829
259	5259	809
260	5278	788
261	5297	768
262	5318	748
263	5344	728
264	5374	709
265	5407	691
266	5431	671
267	5454	651
268	5473	630
269	5498	610
270	5522	590
271	5545	570
272	5572	551
273	5593	530
274	5619	510
275	5641	490
276	5664	470
277	5689	450
278	5713	430
279	5743	410
280	5767	389
281	5789	369
282	5813	349
283	5833	328
284	5859	308
285	5878	287
286	5901	267
287	5923	246
288	5940	226
289	5958	205
290	5977	184
291	6002	164
292	6027	144
293	6053	123
294	6081	103
295	6101	82
296	6123	61
297	6142	41
298	6161	20
299	6188	0
