N°commande,Code article,Article ,Type article,Quantité,UM,Date commande,Date réception,conformité,Code Fournisseur,Nom Fournisseur,adresse,Coût unitaire,Taux de conformité (%),Nombre de commandes,Respect_délais,Taux de Respect (%),Score,Catégorie,Mois,Année
22000002,HSDR0007                 ,SRTJ du E2:E13530/11/2021.           ,Produit matière première,1.0,UN,2022-01-03,2022-01-12,1,5006997,Société Mohamed,Gafsa,3081600.0,100.0,17,1,94.11764705882352,6.825536670787438,Moyen,1,2022
22000003,P9523007                 ,Glasse de niv Type A N°7 A/JTS,Matériel,2.0,PC,2022-01-04,2022-01-10,1,5005182,Société Gharbi,Gabès,1027400.0,72.14353163361662,8472,1,99.9409820585458,6.883972673760619,Moyen,1,2022
22000004,HSDLI003                 ,"transport beurre""landor""      ",Service,1.0,UN,2022-01-03,2022-01-17,1,5005954,Société Dridi,Monastir,450000.0,100.0,2,0,50.0,5.500240516200385,Moyen,1,2022
22000004,HSDT0020                 ,Capteur pression réf1089049252,Matériel,1.0,UN,2022-01-04,2022-01-10,0,550737,Société Cherif,Siliana,0.0,89.84509466437177,581,1,86.40275387263338,8.254465250723655,Très Fiable,1,2022
22000043,HSDR0009                 ,FA21/238457                   ,Service,1.0,LT,2022-01-18,2022-01-21,1,5007091,Société Ahmed,Kairouan,74374.0,100.0,178,1,99.43820224719101,7.0041833453297295,Moyen,1,2022
22000043,HSDR0009                 ,FA21/238457                   ,Service,1.0,LT,2022-01-18,2022-01-21,1,5007091,Société Ahmed,Manouba,31038.0,100.0,178,1,99.43820224719101,7.00422088963899,Moyen,1,2022
22000043,HSDR0009                 ,FA21/238457                   ,Service,1.0,LT,2022-01-18,2022-02-02,1,5007091,Société Ahmed,Zaghouan,52041.0,100.0,178,1,99.43820224719101,7.00419488507187,Moyen,1,2022
22000043,HSDT0003                 ,ausculation par caméra forage ,Service,1.0,UN,2022-01-10,2022-01-15,0,550737,Société Cherif,Manouba,0.0,89.84509466437177,581,1,86.40275387263338,8.254465250723655,Très Fiable,1,2022
22000044,MCFRB0098                ,PAIRE DE CISEAUX              ,Fourniture de bureau,6.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Kairouan,1850.0,100.0,89,1,100.0,7.011585690607481,Moyen,2,2022
22000044,MCFRB0126                ,RAME PAPIER EXTRA BLANC       ,Fourniture de bureau,16.0,RA,2022-02-23,2022-02-25,1,5005814,Société Sassi,Ben Arous,27000.0,100.0,89,1,100.0,7.010579264909539,Moyen,2,2022
