Type article_encoded,Mois,Année,Horizon,Code article_encoded,Code Fournisseur_encoded,Jour,Article_Fournisseur,Quantité_Predite_CB,Quantité_Réelle,Erreur_Absolue,Date commande,Type article
6,3,2022,7,480,177,8,analyse bacteriologique        - Société Saeed,2.682788096630189,3.999999999999999,1.31721190336981,2022-03-08,Service
2,1,2023,7,4217,36,17,Couvercle2541648-0000          - Société Gharbi,1.5926873018046774,1.0,0.5926873018046774,2023-01-17,Matériel
6,2,2024,7,434,14,12,Réparation Palette             - Société Ben laabidi,1.7465649877838763,1.0,0.7465649877838763,2024-02-12,Service
2,1,2023,7,2055,81,5,SCREW 6-4722525101/90458-0072  - Société Belhadj,2.704691681336148,3.0,0.2953083186638521,2023-01-05,Matériel
6,4,2023,7,436,156,5,Confection piéces -Mars 2023   - Société Khalifa,1.6520596686655877,1.0,0.6520596686655877,2023-04-05,Service
2,5,2023,7,2805,36,5,JOINT     1569526-0000RV       - Société Gharbi,2.9557802249397147,12.0,9.044219775060284,2023-05-05,Matériel
2,1,2023,7,3815,36,17,"O-ring, 85x3.20mNBR 90606-4996 - Société Gharbi",1.4690839580415633,1.0,0.46908395804156333,2023-01-17,Matériel
2,10,2022,7,2573,81,17,"JOINT  35,4*49,1*5,21MM        - Société Belhadj",2.7304147851785654,2.0000000000000004,0.730414785178565,2022-10-17,Matériel
6,3,2022,7,472,60,16,Facture DATA                   - Société Ashour,1.9369679371217288,1.0,0.9369679371217288,2022-03-16,Service
2,2,2023,7,2697,81,24,90240-0263                     - Société Belhadj,2.1617398184217453,2.0000000000000004,0.1617398184217449,2023-02-24,Matériel
3,7,2022,60,655,279,1,CARTON DISNEY STARWAR FRAISE   - Société Ramadan,2.051423366562021,2.0000000000000004,0.05142336656202051,2022-07-01,Produit emballage
6,1,2023,7,2228,81,5,Sp.p kit Aseptomag DK65TPA135A - Société Belhadj,2.4966326944952306,2.0000000000000004,0.4966326944952302,2023-01-05,Service
6,3,2022,7,456,29,18,HORS ABT ETG GERBER            - Société Abid,1.5394288268063967,3.999999999999999,2.4605711731936024,2022-03-18,Service
2,11,2023,7,2243,36,2,6-99041164/90526-4690          - Société Gharbi,2.034789761761899,3.999999999999999,1.9652102382381003,2023-11-02,Matériel
2,1,2023,7,2621,36,17,JOINT 90458-1941               - Société Gharbi,1.708976293215823,1.0,0.708976293215823,2023-01-17,Matériel
6,5,2023,7,436,25,17,Réparation vent conden 350     - Société Cherif,1.4418956168031016,1.0,0.44189561680310163,2023-05-17,Service
2,12,2023,7,2133,36,25,KIT  6-9611923010 RV           - Société Gharbi,2.818667633060332,1.0,1.8186676330603322,2023-12-25,Matériel
2,7,2023,7,4068,505,28,Timing belt 16AT5/1075 PU      - Société Ayachi,0.9936119321604633,2.0000000000000004,1.0063880678395372,2023-07-28,Matériel
6,5,2022,7,452,32,9,Fact N° 22000346               - Société Maher,0.9841810078703714,1.0,0.015818992129628562,2022-05-09,Service
